Post,Sentiment,Matched Phobias,Matched Keyword
"is not with his darling anymore :( sad day(s)...Lord, be my sustanence as you always are. Especially now that much of my joy is 700 miles away from me. I love you *PROPNAME*, and I miss you!",Negative,"",""
"""We are the sons of holy wrath,A shining light in the darkThe ones who walk amongst despair,No sign of fear in our hearts""",Positive,"",""
"6am on a saturday is far to early to drag one's self out of bed...ugh, God thank you for this morning..even though I'd like to be sleeping it away...It really is a beautiful morning :)",Negative,"",""
"What makes people happy? Apparently we really suck at knowing what makes us happy. Its a measurable, replicable scientific fact. I dunno why that strikes me funny. lol. Lord, teach us to be joyful in you.",Negative,"",""
"I don't know how it all works. I don't know why. I don't know how. I just am who you made me. I have what you gave me. Let me be yours. Please take all I have as yours. Let me be holy and of you. I desire for my life to boil your vapor from my skin forever. Burn everlasting flame. Flinted face, calloused knuckles, and grinding teeth...my best. That's what you got.",Very positive,"",""
"""I believe the world is burning to the ground. Oh well, I guess we're gonna find out""--How far have we come, Lord? Let us make the most of the time we do have here. We waste TOO much time on so many things that don't matter. Its not worth it. Really.",Neutral,"",""
"life never seems to stop changing. Its crazy to think college is almost over. Wow. Lord, please guide the steps of my life as it is so formless yet traced before me.",Negative,"",""
"Dude, its freaking snowing!!!!! Yay!!!! Let's play in it!",Negative,"",""
"""I gotta feelin. Woohoo...that tonight's gonna be a good night"" :) I like it when prayer's answered sweetly and things work out well. Thanks God :)",Positive,"Nyctophobia,","night,"
"So much to say. So much to do. So much to be. So little time. 24 hours is already to small an amount of time. Its hard to be without you.",Negative,"Claustrophobia,","small,"
"Does it really take cancer or death to bring us to have a heart for our family? Really? Lord, at this rate, it'll take You coming on the clouds, blowing our minds and shaking us from our complacent lives...complacent in the daily grind. Complacent in our justifiable self-pity. Complacent in our self-centeredness. It'll take You to show us how wrong we all are.",Negative,"Necrophobia,","death,"
"has walked a thousand miles with grace so far. I could walk like this forever...Jesus how can you be so good to me?? May you be praised in every step I take. Always",Positive,"",""
"""I believe it all is coming to an end. Oh well, I guess we're gonna pretend"". Ever feel like a five-year-old who is content to cover his//her eyes to feel safe and secure? If I can't see you, you can't see me..lol..I want us all to stop ignoring the important things. They won't go away if you ignore them. I promise.",Negative,"",""
"neoplatonic thinking postulates ""the one"" is infinite and gives rise, eventually, to this world of 'becoming"". Lord you were, are, and forever will be. My one. May I draw all life and thought from Your essential creativity. May I be made to be like Your form. Good.",Positive,"",""
"I like where we are. here :)...except...where's my julie?????? :(((. I don't like where we are anymore...",Negative,"",""
"""No demanding without understanding"" --*PROPNAME*",Neutral,"",""
"""Ever since the day I was born i've been deciding the end..."" let your light guide my way, oh Lord. You are the great shepherd.",Negative,"",""
"As long as I'm alive, I'd die for you. Thank You Lord for your love and Your awakening it within me.",Positive,"",""
"""All these weirdos, and me getting a little better every day...I had never known...that there might be a place for people like us""--*PROPNAME*",Negative,"",""
"""Wilt thou change this world... Or wilt thou change thyself?""...can't i do both?",Neutral,"",""
"*PROPNAME*. The spice of life. Apparently its one of my signature strengths :). How can I help make your life more adventurous today? Thank you, Lord, for making me salt and light.",Neutral,"",""
"Screw you AXLE",Positive,"",""
"""why art thou cast down oh my soul?"" Oh yeah, because my darling isn't here. Lord, this is a high calling indeed.",Neutral,"Acrophobia,","high,"
"Thank you, Lord, for today :) The day that three  years ago you let me start to make mine the most amazing woman ever! :) I love you *PROPNAME* :)",Very positive,"",""
"Happy Valentine's day everybody! And especially   to my sweet fiancee (with two ""e's""), *PROPNAME* , who makes this day very very  special  for me! Hey ya'll don't take for granted that you can hold the  one you  love in your arms. I'd give both of my arms just to see my love  right  now.",Positive,"",""
"Though the air is cold outside, I pray You warm our hearts with Your love.",Positive,"Agoraphobia,","outside,"
"Just updated my profile...Much has changed since college!",Positive,"",""
"Scouty is going to the Doctor...",Neutral,"",""
"Holiday is over....crap....",Negative,"",""
"So apperently the owners at my school have decided that they want to make things as complicated as possible...enter new and stupidly expensive computer program!",Negative,"",""
"Happy Brithday *PROPNAME*!!  Have a stadium dog for me!",Positive,"Cynophobia,","dog,"
"Back in the ATL, but still just as foggy...luckly work is falling into place without me even doing anything...",Negative,"",""
"Getting ready for my suprize trip to MI...I wish it was under better circumstances",Negative,"",""
"wow, nothing like losing to a MAC team to make me cry...I would like to thank pete for ruining the game for me as well...jurk...",Negative,"",""
"I would give my left ear to be able to watch the big ten network I ordered, thanks for ruinung my game day comcast...",Negative,"",""
"At home, trying to remember who I am related to and witch kids belong to witch cousin....and craving polish food.  In another devolopment, I thought I would be able to escape country music in the north, but in reality it is worse...",Negative,"",""
"Even though my own sister is a blood traider....GO GREEN!!  GO ND!!!",Negative,"Hemophobia,","blood,"
"I have a slash in my convertable top.  2 days before I leave for my beach vacation.  Someone is a serious asshole.",Negative,"",""
"Breaking News: At the Atlanta Zoo, an old guy with a long white beard was caught try to lure 2 of each animal out of the exhibits.  It is also reported that he arrived in a large wooden boat...",Negative,"",""
"I am glad to say that my parents arrived in Michigan safely...even if thier bags are lost...",Negative,"",""
"What do *PROPNAME* and the Miami Dolphins have in common? They make 70,000 people stand up and yell ""Jesus Christ""...",Neutral,"",""
"What is this world coming to when a complete ahole douchebag like *PROPNAME* is making an apolgy tour, but still as not called the girl to personally say I am sorry?  This is the role models for kids?  In a realted note, we will be out of the recession when the Americans who want to work can, not one moment before...I am feeling feisty today...",Negative,"",""
"One of my prospective students just asked me out...is it 3 yet?  This week has been crazy...",Negative,"",""
"*PROPNAME* is terrified of the half deflated mylar balloon outside of our condo, when we went for a walk she barked at it and then peed all over herself when I grabbed it to toss it out.  She is such a frady pup!",Negative,"Agoraphobia,","outside,"
"The guy next to me getting a mani//pedi tonight reminded me of someone my dad would golf with...kinda reminded me of home until he started singing along with the radio to Ace of Base, Madonna, and Cher.  It was so hard not to laugh!! So Atlanta!",Negative,"",""
"I did not realize that *PROPNAME* (the guy from ""to catch a predator"") went to MSU, that is actually pretty cool.  He is a bad ass in a turtleneck!",Negative,"",""
"Almost the weekend...only a few more short hours...I think we can make it.",Negative,"",""
"What in God's name happened to cnn.com?",Neutral,"",""
"I fell on the way to my car this morning...I hope that is not the predictor of a bad day!",Negative,"",""
"dang...is this what people feel like when the wings take it all??  Personally when the wings take it all in the cup it makes me smile, but for some reason a suprizing number of people are not red wings fans...",Negative,"",""
"*PROPNAME* cant wait to dress up and go trick or treating!",Negative,"",""
"I think quite possibly that MSU is one of the only teams in the Big Ten where the other team can have that many penalties and we still lose...the pizza pizza bowl is a GOAL now...and hockey is sucking a big one...when does basketball start?",Negative,"",""
"Hey Atlanta: you may see my work on the evening news...Some guy was shot in the foot in our parking lot, that we share with the probation office...I have heard rumors he shot himself...",Positive,"",""
"If you push print once....you only get one copy, so dont look at me like a moron when I bring you the 6 other copys from the 6 other times you pressed print...",Negative,"",""
"I think that *PROPNAME* was embarassed that we were blasting the Glee soundtrack while crusing around with the top down...I can't imagine why",Negative,"",""
"My mom and I were talking about all the food that reminds me of home last night, now I am a little home sick.  I love this time of year in Michigan!",Negative,"Nyctophobia,","night,"
"I think I am going to start a Book Club with my girlfriends...any of you peaches intersted.  In my mind it will be a good excuse to sit around and drink wine and maybe talk about the book for a few minutes...",Positive,"",""
"I just keep reminding myself...one week until my vacation, one week until my vacation....",Negative,"",""
"NO NO NO *PROPNAME* cannot have a crush on Shoe...",Negative,"",""
"How did a hobbit get on Flash Forward? That show is so crazy...",Neutral,"",""
"I cannot believe that I am celibrating going to the Pizza Pizza Bowl...",Negative,"",""
